Airport Acronym,City,State,Time Zone,Hrs. from GMT,Java Zone ID,DST,,
DOV,Dover-Cheswold,DE,EST,-5,America/New_York,YES,,
DPA,Chicago,IL,CST,-6,America/Chicago,YES,,
DQH,Douglas,GA,EST,-5,America/New_York,YES,,
DQK,Fort Drum,NY,EST,-5,America/New_York,YES,,
DQN,New Smyrna Beach,FL,EST,-5,America/New_York,YES,,
DQP,Georgetown,KY,EST,-5,America/New_York,YES,,
DQR,Peach Springs,AZ,MST,-7,US/Arizona,NO,,
DRF,Drift River,AK,,-9,America/Anchorage,YES,,
DRG,Deering,AK,,-9,America/Anchorage,YES,,
DRO,Durango,CO,MST,-7,America/Denver,YES,,
DRT,Del Rio,TX,CST,-6,America/Chicago,YES,,
DSM,Des Moines,IA,CST,-6,America/Chicago,YES,,
DTW,Detroit,MI,EST,-5,America/New_York,YES,,
DUJ,Dubois,PA,EST,-5,America/New_York,YES,,
DUT,Dutch Harbor,AK,,-9,America/Anchorage,YES,,
DVL,Devils Lake,ND,CST,-6,America/Chicago,YES,,
DXR,Danbury,CT,EST,-5,America/New_York,YES,,
DYS,Abilene,TX,CST,-6,America/Chicago,YES,,
EAA,Eagle,AK,,-9,America/Anchorage,YES,,
EAR,Kearney,NE,CST,-6,America/Chicago,YES,,
EAT,Wenatchee,WA,PST,-8,America/Los_Angeles,YES,,
EAU,Eau Claire,WI,CST,-6,America/Chicago,YES,,
EDA,Edna Bay,AK,,-9,America/Anchorage,YES,,
EDF,Anchorage,AK,,-9,America/Anchorage,YES,,
EEK,Eek,AK,,-9,America/Anchorage,YES,,
EFD,Houston,TX,CST,-6,America/Chicago,YES,,
EFK,Newport,VT,EST,-5,America/New_York,YES,,
EGE,Vail,CO,MST,-7,America/Denver,YES,,
EGX,Egegik,AK,,-9,America/Anchorage,YES,,
EHM,Cape Newenham,AK,,-9,America/Anchorage,YES,,
EIL,Fairbanks,AK,,-9,America/Anchorage,YES,,
EKA,Eureka,CA,PST,-8,America/Los_Angeles,YES,,
EKO,Elko,NV,PST,-8,America/Los_Angeles,YES,,
ELD,El Dorado,AR,CST,-6,America/Chicago,YES,,
ELI,Elim,AK,,-9,America/Anchorage,YES,,
ELM,Elmira,NY,EST,-5,America/New_York,YES,,
ELP,El Paso,TX,MST,-7,America/Denver,YES,,
ELV,Elfin Cove,AK,,-9,America/Anchorage,YES,,
ELY,Ely,NV,PST,-8,America/Los_Angeles,YES,,
EMK,Emmonak,AK,,-9,America/Anchorage,YES,,
ENA,Kenai,AK,,-9,America/Anchorage,YES,,
ENN,Nenana,AK,,-9,America/Anchorage,YES,,
ENV,Wendover,UT,MST,-7,America/Denver,YES,,
EPH,Ephrata,WA,PST,-8,America/Los_Angeles,YES,,
ERI,Erie,PA,EST,-5,America/New_York,YES,,
ESC,Escanaba,MI,EST,-5,America/New_York,YES,,
ESD,Eastsound,WA,PST,-8,America/Los_Angeles,YES,,
EUG,Eugene,OR,PST,-8,America/Los_Angeles,YES,,
EVV,Evansville,IN,CST,-6,America/Chicago,YES,,
EWB,New Bedford,MA,EST,-5,America/New_York,YES,,
EWN,New Bern,NC,EST,-5,America/New_York,YES,,
EWR,Newark,NJ,EST,-5,America/New_York,YES,,
EXI,Excursion Inlet,AK,,-9,America/Anchorage,YES,,
EYW,Key West,FL,EST,-5,America/New_York,YES,,
FAI,Fairbanks,AK,,-9,America/Anchorage,YES,,
FAR,Fargo,ND,CST,-6,America/Chicago,YES,,
FAT,Fresno,CA,PST,-8,America/Los_Angeles,YES,,
FAY,Fayetteville,NC,EST,-5,America/New_York,YES,,
FCA,Kalispell,MT,MST,-7,America/Denver,YES,,
FDY,Findlay,OH,EST,-5,America/New_York,YES,,
FFO,Dayton,OH,EST,-5,America/New_York,YES,,
FHU,Sierra Vista,AZ,MST,-7,US/Arizona,NO,,
FKL,Franklin,PA,EST,-5,America/New_York,YES,,
FLG,Grand Canyon,AZ,MST,-7,US/Arizona,NO,,
FLL,Fort Lauderdale,FL,EST,-5,America/New_York,YES,,
FLO,Florence,SC,EST,-5,America/New_York,YES,,
FMN,Farmington,NM,MST,-7,America/Denver,YES,,
FNL,Fort Collins/Loveland,CO,MST,-7,America/Denver,YES,,
FNR,Funter Bay,AK,,-9,America/Anchorage,YES,,
FNT,Flint,MI,EST,-5,America/New_York,YES,,
FOD,Fort Dodge,IA,CST,-6,America/Chicago,YES,,
FOE,Topeka,KS,CST,-6,America/Chicago,YES,,
FQW,Fort Glenn,AK,,-9,America/Anchorage,YES,,
FRD,Friday Harbor,WA,PST,-8,America/Los_Angeles,YES,,
FRG,Farmingdale,NY,EST,-5,America/New_York,YES,,
FSD,Sioux Falls,SD,CST,-6,America/Chicago,YES,,
FSM,Fort Smith,AR,CST,-6,America/Chicago,YES,,
FTW,Fort Worth,TX,CST,-6,America/Chicago,YES,,
FTY,Atlanta,GA,EST,-5,America/New_York,YES,,
FVQ,Donlin Creek,AK,,-9,America/Anchorage,YES,,
FWA,Fort Wayne,IN,EST,-5,America/New_York,YES,,
FYU,Fort Yukon,AK,,-9,America/Anchorage,YES,,
FYV,Fayettesville,AR,CST,-6,America/Chicago,YES,,
GAL,Galena,AK,,-9,America/Anchorage,YES,,
GAM,Gambell,AK,,-9,America/Anchorage,YES,,
GBD,Great Bend,KS,CST,-6,America/Chicago,YES,,
GBH,Galbraith Lake,AK,,-9,America/Anchorage,YES,,
GCC,Gillette,WY,MST,-7,America/Denver,YES,,
GCK,Garden City,KS,CST,-6,America/Chicago,YES,,
GCN,Grand Canyon,AZ,MST,-7,US/Arizona,NO,,
GDV,Glendive,MT,MST,-7,America/Denver,YES,,
GEG,Spokane,WA,PST,-8,America/Los_Angeles,YES,,
GFK,Grand Forks,ND,CST,-6,America/Chicago,YES,,
GGG,Longview,TX,CST,-6,America/Chicago,YES,,
GGW,Glasgow,MT,MST,-7,America/Chicago,YES,,
GJT,Grand Junction,CO,MST,-7,America/Denver,YES,,
GKN,Gulkana,AK,,-9,America/Anchorage,YES,,
GLH,Greenville,MS,CST,-6,America/Chicago,YES,,
GLR,Gaylord,MI,EST,-5,America/New_York,YES,,
GLV,Golovin,AK,,-9,America/Anchorage,YES,,
GNU,Goodnews Bay,AK,,-9,America/Anchorage,YES,,
GNV,Gainesville,FL,EST,-5,America/New_York,YES,,
GON,New London,CT,EST,-5,America/New_York,YES,,
GPT,Gulfport,MS,CST,-6,America/Chicago,YES,,
GRB,Green Bay,WI,CST,-6,America/Chicago,YES,,
GRI,Grand Island,NE,CST,-6,America/Chicago,YES,,
GRK,Killeen,TX,CST,-6,America/Chicago,YES,,
GRR,Grand Rapids,MI,EST,-5,America/New_York,YES,,
GSB,Goldsboro,NC,EST,-5,America/New_York,YES,,
GSH,Goshen,IN,EST,-5,America/New_York,YES,,
GSO,Greensboro/High Point,NC,EST,-5,America/New_York,YES,,
GSP,Greenville,SC,EST,-5,America/New_York,YES,,
GST,Gustavus,AK,,-9,America/Anchorage,YES,,
GTF,Great Falls,MT,MST,-7,America/Denver,YES,,
GTR,Columbus,MS,CST,-6,America/Chicago,YES,,
GUC,Gunnison,CO,MST,-7,America/Denver,YES,,
GUM,Guam,GU,,10,Pacific/Guam,NO,,
GUP,Gallup,NM,MST,-7,America/Denver,YES,,
GYR,Goodyear,AZ,MST,-7,US/Arizona,NO,,
GYY,Gary,IN,CST,-6,America/Chicago,YES,,
HAE,Havasupai,AZ,MST,-7,US/Arizona,NO,,
HCR,Holy Cross,AK,,-9,America/Anchorage,YES,,
HDN,Hayden,CO,MST,-7,America/Denver,YES,,
HGR,Hagerstown,MD,EST,-5,America/New_York,YES,,
HGZ,Hogatza,AK,,-9,America/Anchorage,YES,,
HHH,Hilton Head,SC,EST,-5,America/New_York,YES,,
HIB,Hibbing,MN,CST,-6,America/Chicago,YES,,
HIF,Ogden,UT,MST,-7,America/Denver,YES,,
